Start Time (UTC) = 1729584223.221370
Time interval = 800 us

Time	Ch01Gr01	Ch01Gr02	Ch01Gr03	Ch01Gr04	Ch01Gr05	Ch02Gr01	Ch02Gr02	Ch02Gr03	Ch02Gr04	Ch02Gr05
	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)
6.405600	1559.4718	1554.1655	1549.1751	1545.0513	1542.3383	1559.5676	1553.7203	1549.1039	1546.4538	1542.6607
6.406400	1559.4718	1554.1647	1549.1751	1545.0521	1542.3383	1559.5700	1553.7203	1549.1039	1546.4523	1542.6607
6.407200	1559.4710	1554.1639	1549.1751	1545.0505	1542.3383	1559.5692	1553.7203	1549.1039	1546.4538	1542.6607
6.408000	1559.4702	1554.1647	1549.1751	1545.0513	1542.3383	1559.5692	1553.7203	1549.1039	1546.4523	1542.6607
6.408800	1559.4718	1554.1647	1549.1751	1545.0521	1542.3383	1559.5700	1553.7195	1549.1047	1546.4530	1542.6607
6.409600	1559.4710	1554.1655	1549.1759	1545.0505	1542.3391	1559.5700	1553.7203	1549.1032	1546.4530	1542.6607
6.410400	1559.4718	1554.1647	1549.1759	1545.0505	1542.3383	1559.5700	1553.7195	1549.1047	1546.4530	1542.6615
6.411200	1559.4710	1554.1655	1549.1751	1545.0513	1542.3383	1559.5684	1553.7195	1549.1047	1546.4530	1542.6615
6.412000	1559.4710	1554.1639	1549.1766	1545.0505	1542.3391	1559.5684	1553.7187	1549.1047	1546.4538	1542.6607
6.412800	1559.4710	1554.1655	1549.1743	1545.0513	1542.3383	1559.5700	1553.7195	1549.1047	1546.4530	1542.6607
6.413600	1559.4702	1554.1655	1549.1751	1545.0505	1542.3383	1559.5676	1553.7203	1549.1047	1546.4546	1542.6607
6.414400	1559.4710	1554.1647	1549.1751	1545.0521	1542.3383	1559.5692	1553.7195	1549.1032	1546.4538	1542.6607
6.415200	1559.4718	1554.1639	1549.1759	1545.0505	1542.3391	1559.5692	1553.7195	1549.1047	1546.4530	1542.6615
6.416000	1559.4710	1554.1655	1549.1751	1545.0505	1542.3391	1559.5684	1553.7203	1549.1047	1546.4538	1542.6607
6.416800	1559.4702	1554.1647	1549.1751	1545.0513	1542.3391	1559.5684	1553.7203	1549.1039	1546.4530	1542.6607
6.417600	1559.4710	1554.1647	1549.1759	1545.0513	1542.3383	1559.5692	1553.7195	1549.1039	1546.4530	1542.6615
6.418400	1559.4702	1554.1639	1549.1751	1545.0513	1542.3391	1559.5692	1553.7195	1549.1047	1546.4530	1542.6623
6.419200	1559.4702	1554.1655	1549.1766	1545.0513	1542.3391	1559.5684	1553.7195	1549.1047	1546.4530	1542.6615
6.420000	1559.4702	1554.1639	1549.1766	1545.0513	1542.3391	1559.5684	1553.7195	1549.1047	1546.4530	1542.6615
6.420800	1559.4710	1554.1639	1549.1751	1545.0513	1542.3391	1559.5692	1553.7203	1549.1047	1546.4530	1542.6615
6.421600	1559.4710	1554.1647	1549.1759	1545.0521	1542.3391	1559.5684	1553.7195	1549.1055	1546.4538	1542.6615
6.422400	1559.4710	1554.1647	1549.1759	1545.0521	1542.3391	1559.5684	1553.7195	1549.1047	1546.4538	1542.6615
6.423200	1559.4702	1554.1639	1549.1766	1545.0521	1542.3391	1559.5684	1553.7195	1549.1047	1546.4530	1542.6615
6.424000	1559.4702	1554.1655	1549.1751	1545.0513	1542.3391	1559.5676	1553.7203	1549.1047	1546.4538	1542.6615
6.424800	1559.4710	1554.1655	1549.1751	1545.0521	1542.3383	1559.5684	1553.7203	1549.1039	1546.4530	1542.6615
6.425600	1559.4710	1554.1647	1549.1751	1545.0521	1542.3391	1559.5676	1553.7195	1549.1039	1546.4538	1542.6615
6.426400	1559.4702	1554.1647	1549.1759	1545.0521	1542.3383	1559.5676	1553.7195	1549.1047	1546.4538	1542.6615
6.427200	1559.4702	1554.1639	1549.1766	1545.0513	1542.3391	1559.5676	1553.7187	1549.1047	1546.4538	1542.6615
6.428000	1559.4702	1554.1639	1549.1759	1545.0513	1542.3383	1559.5684	1553.7195	1549.1055	1546.4546	1542.6615
6.428800	1559.4702	1554.1647	1549.1751	1545.0521	1542.3391	1559.5692	1553.7203	1549.1047	1546.4546	1542.6615
6.429600	1559.4702	1554.1655	1549.1759	1545.0513	1542.3391	1559.5676	1553.7203	1549.1047	1546.4546	1542.6623
6.430400	1559.4702	1554.1655	1549.1751	1545.0521	1542.3383	1559.5676	1553.7203	1549.1039	1546.4538	1542.6615
6.431200	1559.4702	1554.1655	1549.1743	1545.0521	1542.3391	1559.5668	1553.7195	1549.1047	1546.4554	1542.6615
6.432000	1559.4702	1554.1647	1549.1759	1545.0513	1542.3391	1559.5668	1553.7195	1549.1047	1546.4538	1542.6623
6.432800	1559.4702	1554.1647	1549.1759	1545.0513	1542.3391	1559.5676	1553.7195	1549.1055	1546.4546	1542.6615
6.433600	1559.4702	1554.1655	1549.1759	1545.0521	1542.3391	1559.5676	1553.7187	1549.1055	1546.4546	1542.6615
6.434400	1559.4710	1554.1647	1549.1759	1545.0521	1542.3398	1559.5684	1553.7187	1549.1047	1546.4546	1542.6623
6.435200	1559.4702	1554.1655	1549.1759	1545.0513	1542.3398	1559.5661	1553.7203	1549.1039	1546.4538	1542.6623
6.436000	1559.4702	1554.1655	1549.1751	1545.0521	1542.3391	1559.5676	1553.7203	1549.1047	1546.4538	1542.6623
6.436800	1559.4702	1554.1647	1549.1759	1545.0513	1542.3398	1559.5676	1553.7195	1549.1063	1546.4554	1542.6615
6.437600	1559.4702	1554.1639	1549.1759	1545.0521	1542.3391	1559.5676	1553.7195	1549.1063	1546.4538	1542.6623
6.438400	1559.4694	1554.1647	1549.1759	1545.0528	1542.3391	1559.5676	1553.7203	1549.1055	1546.4538	1542.6623
6.439200	1559.4694	1554.1647	1549.1766	1545.0521	1542.3398	1559.5668	1553.7195	1549.1055	1546.4546	1542.6630
6.440000	1559.4702	1554.1655	1549.1759	1545.0521	1542.3398	1559.5676	1553.7195	1549.1055	1546.4546	1542.6623
6.440800	1559.4702	1554.1639	1549.1751	1545.0528	1542.3391	1559.5676	1553.7195	1549.1047	1546.4546	1542.6623
6.441600	1559.4694	1554.1647	1549.1751	1545.0521	1542.3398	1559.5661	1553.7203	1549.1055	1546.4554	1542.6630
6.442400	1559.4702	1554.1647	1549.1759	1545.0528	1542.3383	1559.5668	1553.7195	1549.1047	1546.4554	1542.6623
6.443200	1559.4694	1554.1639	1549.1759	1545.0513	1542.3398	1559.5661	1553.7187	1549.1047	1546.4546	1542.6623
6.444000	1559.4694	1554.1639	1549.1759	1545.0521	1542.3398	1559.5668	1553.7203	1549.1063	1546.4554	1542.6623
6.444800	1559.4694	1554.1655	1549.1766	1545.0513	1542.3398	1559.5661	1553.7195	1549.1055	1546.4546	1542.6623
6.445600	1559.4694	1554.1655	1549.1751	1545.0528	1542.3391	1559.5668	1553.7203	1549.1047	1546.4546	1542.6630
6.446400	1559.4694	1554.1647	1549.1759	1545.0521	1542.3398	1559.5668	1553.7203	1549.1055	1546.4546	1542.6623
6.447200	1559.4694	1554.1624	1549.1774	1545.0521	1542.3398	1559.5676	1553.7187	1549.1063	1546.4538	1542.6630
6.448000	1559.4694	1554.1639	1549.1766	1545.0528	1542.3398	1559.5668	1553.7195	1549.1063	1546.4546	1542.6630
6.448800	1559.4694	1554.1655	1549.1759	1545.0528	1542.3391	1559.5668	1553.7195	1549.1063	1546.4562	1542.6630
6.449600	1559.4694	1554.1639	1549.1766	1545.0513	1542.3398	1559.5661	1553.7195	1549.1063	1546.4546	1542.6630
6.450400	1559.4694	1554.1639	1549.1766	1545.0528	1542.3398	1559.5676	1553.7187	1549.1055	1546.4554	1542.6630
6.451200	1559.4694	1554.1639	1549.1759	1545.0528	1542.3398	1559.5661	1553.7195	1549.1063	1546.4554	1542.6630
6.452000	1559.4694	1554.1647	1549.1759	1545.0528	1542.3391	1559.5676	1553.7195	1549.1055	1546.4554	1542.6630
6.452800	1559.4686	1554.1647	1549.1759	1545.0521	1542.3398	1559.5653	1553.7195	1549.1063	1546.4562	1542.6630
6.453600	1559.4686	1554.1639	1549.1751	1545.0528	1542.3398	1559.5661	1553.7203	1549.1055	1546.4562	1542.6630
6.454400	1559.4694	1554.1639	1549.1774	1545.0528	1542.3398	1559.5668	1553.7195	1549.1063	1546.4562	1542.6630
6.455200	1559.4686	1554.1639	1549.1759	1545.0528	1542.3398	1559.5676	1553.7203	1549.1063	1546.4562	1542.6630
6.456000	1559.4686	1554.1639	1549.1759	1545.0521	1542.3398	1559.5661	1553.7203	1549.1063	1546.4554	1542.6630
6.456800	1559.4686	1554.1647	1549.1766	1545.0528	1542.3398	1559.5668	1553.7195	1549.1063	1546.4546	1542.6630
6.457600	1559.4686	1554.1632	1549.1774	1545.0528	1542.3398	1559.5661	1553.7195	1549.1063	1546.4562	1542.6630
6.458400	1559.4686	1554.1647	1549.1766	1545.0521	1542.3398	1559.5668	1553.7195	1549.1063	1546.4562	1542.6630
